x coord, y coord, z coord, T
0.000000, 0.000000, 0.000000, 0.000000 
0.025000, 0.000000, 0.000000, 250.000000 
0.050000, 0.000000, 0.000000, 250.000000 
0.075000, 0.000000, 0.000000, 250.000000 
0.100000, 0.000000, 0.000000, 250.000000 
0.125000, 0.000000, 0.000000, 250.000000 
0.150000, 0.000000, 0.000000, 250.000000 
0.175000, 0.000000, 0.000000, 250.000000 
0.200000, 0.000000, 0.000000, 250.000000 
0.225000, 0.000000, 0.000000, 250.000000 
0.250000, 0.000000, 0.000000, 250.000000 
0.275000, 0.000000, 0.000000, 250.000000 
0.300000, 0.000000, 0.000000, 250.000000 
0.325000, 0.000000, 0.000000, 250.000000 
0.350000, 0.000000, 0.000000, 250.000000 
0.375000, 0.000000, 0.000000, 250.000000 
0.400000, 0.000000, 0.000000, 250.000000 
0.425000, 0.000000, 0.000000, 250.000000 
0.450000, 0.000000, 0.000000, 250.000000 
0.475000, 0.000000, 0.000000, 250.000000 
0.500000, 0.000000, 0.000000, 250.000000 
0.525000, 0.000000, 0.000000, 250.000000 
0.550000, 0.000000, 0.000000, 250.000000 
0.575000, 0.000000, 0.000000, 250.000000 
0.600000, 0.000000, 0.000000, 250.000000 
0.625000, 0.000000, 0.000000, 250.000000 
0.650000, 0.000000, 0.000000, 250.000000 
0.675000, 0.000000, 0.000000, 250.000000 
0.700000, 0.000000, 0.000000, 250.000000 
0.725000, 0.000000, 0.000000, 250.000000 
0.750000, 0.000000, 0.000000, 250.000000 
0.775000, 0.000000, 0.000000, 250.000000 
0.800000, 0.000000, 0.000000, 250.000000 
0.825000, 0.000000, 0.000000, 250.000000 
0.850000, 0.000000, 0.000000, 250.000000 
0.875000, 0.000000, 0.000000, 250.000000 
0.900000, 0.000000, 0.000000, 250.000000 
0.925000, 0.000000, 0.000000, 250.000000 
0.950000, 0.000000, 0.000000, 250.000000 
0.975000, 0.000000, 0.000000, 250.000000 
1.000000, 0.000000, 0.000000, 0.000000 
0.000000, 0.025000, 0.000000, 0.000000 
0.025000, 0.025000, 0.000000, 124.836244 
0.050000, 0.025000, 0.000000, 174.084961 
0.075000, 0.025000, 0.000000, 197.158614 
0.100000, 0.025000, 0.000000, 209.714010 
0.125000, 0.025000, 0.000000, 217.385376 
0.150000, 0.025000, 0.000000, 222.484687 
0.175000, 0.025000, 0.000000, 226.084453 
0.200000, 0.025000, 0.000000, 228.737620 
0.225000, 0.025000, 0.000000, 230.754943 
0.250000, 0.025000, 0.000000, 232.323471 
0.275000, 0.025000, 0.000000, 233.562059 
0.300000, 0.025000, 0.000000, 234.549513 
0.325000, 0.025000, 0.000000, 235.339844 
0.350000, 0.025000, 0.000000, 235.971003 
0.375000, 0.025000, 0.000000, 236.470108 
0.400000, 0.025000, 0.000000, 236.856685 
0.425000, 0.025000, 0.000000, 237.144742 
0.450000, 0.025000, 0.000000, 237.344098 
0.475000, 0.025000, 0.000000, 237.461248 
0.500000, 0.025000, 0.000000, 237.499898 
0.525000, 0.025000, 0.000000, 237.461250 
0.550000, 0.025000, 0.000000, 237.344100 
0.575000, 0.025000, 0.000000, 237.144744 
0.600000, 0.025000, 0.000000, 236.856686 
0.625000, 0.025000, 0.000000, 236.470107 
0.650000, 0.025000, 0.000000, 235.971003 
0.675000, 0.025000, 0.000000, 235.339843 
0.700000, 0.025000, 0.000000, 234.549512 
0.725000, 0.025000, 0.000000, 233.562059 
0.750000, 0.025000, 0.000000, 232.323471 
0.775000, 0.025000, 0.000000, 230.754943 
0.800000, 0.025000, 0.000000, 228.737621 
0.825000, 0.025000, 0.000000, 226.084455 
0.850000, 0.025000, 0.000000, 222.484689 
0.875000, 0.025000, 0.000000, 217.385377 
0.900000, 0.025000, 0.000000, 209.714011 
0.925000, 0.025000, 0.000000, 197.158614 
0.950000, 0.025000, 0.000000, 174.084961 
0.975000, 0.025000, 0.000000, 124.836244 
1.000000, 0.025000, 0.000000, 0.000000 
0.000000, 0.050000, 0.000000, 0.000000 
0.025000, 0.050000, 0.000000, 75.260015 
0.050000, 0.050000, 0.000000, 124.344985 
0.075000, 0.050000, 0.000000, 154.835484 
0.100000, 0.050000, 0.000000, 174.312050 
0.125000, 0.050000, 0.000000, 187.342807 
0.150000, 0.050000, 0.000000, 196.468922 
0.175000, 0.050000, 0.000000, 203.115507 
0.200000, 0.050000, 0.000000, 208.111085 
0.225000, 0.050000, 0.000000, 211.958680 
0.250000, 0.050000, 0.000000, 214.976883 
0.275000, 0.050000, 0.000000, 217.375253 
0.300000, 0.050000, 0.000000, 219.296147 
0.325000, 0.050000, 0.000000, 220.838859 
0.350000, 0.050000, 0.000000, 222.074061 
0.375000, 0.050000, 0.000000, 223.052742 
0.400000, 0.050000, 0.000000, 223.811891 
0.425000, 0.050000, 0.000000, 224.378184 
0.450000, 0.050000, 0.000000, 224.770401 
0.475000, 0.050000, 0.000000, 225.001000 
0.500000, 0.050000, 0.000000, 225.077096 
0.525000, 0.050000, 0.000000, 225.001003 
0.550000, 0.050000, 0.000000, 224.770405 
0.575000, 0.050000, 0.000000, 224.378187 
0.600000, 0.050000, 0.000000, 223.811892 
0.625000, 0.050000, 0.000000, 223.052742 
0.650000, 0.050000, 0.000000, 222.074060 
0.675000, 0.050000, 0.000000, 220.838859 
0.700000, 0.050000, 0.000000, 219.296147 
0.725000, 0.050000, 0.000000, 217.375252 
0.750000, 0.050000, 0.000000, 214.976883 
0.775000, 0.050000, 0.000000, 211.958680 
0.800000, 0.050000, 0.000000, 208.111085 
