x coord, y coord, z coord, T
0.000000, 0.000000, 0.000000, 0.000000 
0.025000, 0.000000, 0.000000, 250.000000 
0.050000, 0.000000, 0.000000, 250.000000 
0.075000, 0.000000, 0.000000, 250.000000 
0.100000, 0.000000, 0.000000, 250.000000 
0.125000, 0.000000, 0.000000, 250.000000 
0.150000, 0.000000, 0.000000, 250.000000 
0.175000, 0.000000, 0.000000, 250.000000 
0.200000, 0.000000, 0.000000, 250.000000 
0.225000, 0.000000, 0.000000, 250.000000 
0.250000, 0.000000, 0.000000, 250.000000 
0.275000, 0.000000, 0.000000, 250.000000 
0.300000, 0.000000, 0.000000, 250.000000 
0.325000, 0.000000, 0.000000, 250.000000 
0.350000, 0.000000, 0.000000, 250.000000 
0.375000, 0.000000, 0.000000, 250.000000 
0.400000, 0.000000, 0.000000, 250.000000 
0.425000, 0.000000, 0.000000, 250.000000 
0.450000, 0.000000, 0.000000, 250.000000 
0.475000, 0.000000, 0.000000, 250.000000 
0.500000, 0.000000, 0.000000, 250.000000 
0.525000, 0.000000, 0.000000, 250.000000 
0.550000, 0.000000, 0.000000, 250.000000 
0.575000, 0.000000, 0.000000, 250.000000 
0.600000, 0.000000, 0.000000, 250.000000 
0.625000, 0.000000, 0.000000, 250.000000 
0.650000, 0.000000, 0.000000, 250.000000 
0.675000, 0.000000, 0.000000, 250.000000 
0.700000, 0.000000, 0.000000, 250.000000 
0.725000, 0.000000, 0.000000, 250.000000 
0.750000, 0.000000, 0.000000, 250.000000 
0.775000, 0.000000, 0.000000, 250.000000 
0.800000, 0.000000, 0.000000, 250.000000 
0.825000, 0.000000, 0.000000, 250.000000 
0.850000, 0.000000, 0.000000, 250.000000 
0.875000, 0.000000, 0.000000, 250.000000 
0.900000, 0.000000, 0.000000, 250.000000 
0.925000, 0.000000, 0.000000, 250.000000 
0.950000, 0.000000, 0.000000, 250.000000 
0.975000, 0.000000, 0.000000, 250.000000 
1.000000, 0.000000, 0.000000, 0.000000 
0.000000, 0.025000, 0.000000, 0.000000 
0.025000, 0.025000, 0.000000, 124.836243 
0.050000, 0.025000, 0.000000, 174.084959 
0.075000, 0.025000, 0.000000, 197.158611 
0.100000, 0.025000, 0.000000, 209.714006 
0.125000, 0.025000, 0.000000, 217.385371 
0.150000, 0.025000, 0.000000, 222.484682 
0.175000, 0.025000, 0.000000, 226.084446 
0.200000, 0.025000, 0.000000, 228.737612 
0.225000, 0.025000, 0.000000, 230.754933 
0.250000, 0.025000, 0.000000, 232.323460 
0.275000, 0.025000, 0.000000, 233.562047 
0.300000, 0.025000, 0.000000, 234.549500 
0.325000, 0.025000, 0.000000, 235.339830 
0.350000, 0.025000, 0.000000, 235.970989 
0.375000, 0.025000, 0.000000, 236.470094 
0.400000, 0.025000, 0.000000, 236.856671 
0.425000, 0.025000, 0.000000, 237.144728 
0.450000, 0.025000, 0.000000, 237.344084 
0.475000, 0.025000, 0.000000, 237.461235 
0.500000, 0.025000, 0.000000, 237.499884 
0.525000, 0.025000, 0.000000, 237.461235 
0.550000, 0.025000, 0.000000, 237.344084 
0.575000, 0.025000, 0.000000, 237.144728 
0.600000, 0.025000, 0.000000, 236.856671 
0.625000, 0.025000, 0.000000, 236.470094 
0.650000, 0.025000, 0.000000, 235.970989 
0.675000, 0.025000, 0.000000, 235.339830 
0.700000, 0.025000, 0.000000, 234.549500 
0.725000, 0.025000, 0.000000, 233.562047 
0.750000, 0.025000, 0.000000, 232.323460 
0.775000, 0.025000, 0.000000, 230.754933 
0.800000, 0.025000, 0.000000, 228.737612 
0.825000, 0.025000, 0.000000, 226.084446 
0.850000, 0.025000, 0.000000, 222.484682 
0.875000, 0.025000, 0.000000, 217.385371 
0.900000, 0.025000, 0.000000, 209.714006 
0.925000, 0.025000, 0.000000, 197.158611 
0.950000, 0.025000, 0.000000, 174.084959 
0.975000, 0.025000, 0.000000, 124.836243 
1.000000, 0.025000, 0.000000, 0.000000 
0.000000, 0.050000, 0.000000, 0.000000 
0.025000, 0.050000, 0.000000, 75.260013 
0.050000, 0.050000, 0.000000, 124.344981 
0.075000, 0.050000, 0.000000, 154.835478 
0.100000, 0.050000, 0.000000, 174.312042 
0.125000, 0.050000, 0.000000, 187.342797 
0.150000, 0.050000, 0.000000, 196.468910 
0.175000, 0.050000, 0.000000, 203.115492 
0.200000, 0.050000, 0.000000, 208.111067 
0.225000, 0.050000, 0.000000, 211.958660 
0.250000, 0.050000, 0.000000, 214.976861 
0.275000, 0.050000, 0.000000, 217.375229 
0.300000, 0.050000, 0.000000, 219.296122 
0.325000, 0.050000, 0.000000, 220.838832 
0.350000, 0.050000, 0.000000, 222.074033 
0.375000, 0.050000, 0.000000, 223.052714 
0.400000, 0.050000, 0.000000, 223.811864 
0.425000, 0.050000, 0.000000, 224.378157 
0.450000, 0.050000, 0.000000, 224.770374 
0.475000, 0.050000, 0.000000, 225.000972 
0.500000, 0.050000, 0.000000, 225.077066 
0.525000, 0.050000, 0.000000, 225.000972 
0.550000, 0.050000, 0.000000, 224.770374 
0.575000, 0.050000, 0.000000, 224.378157 
0.600000, 0.050000, 0.000000, 223.811864 
0.625000, 0.050000, 0.000000, 223.052714 
0.650000, 0.050000, 0.000000, 222.074033 
0.675000, 0.050000, 0.000000, 220.838832 
0.700000, 0.050000, 0.000000, 219.296122 
0.725000, 0.050000, 0.000000, 217.375229 
0.750000, 0.050000, 0.000000, 214.976861 
0.775000, 0.050000, 0.000000, 211.958660 
0.800000, 0.050000, 0.000000, 208.111067 
